mass_id,name,mass_kg,x_mm,y_mm,z_mm,suggested_scope,note
AST-MASS-120,Ring 1 pressure and protection sector 1,300.000,-2500.000,12000.000,0.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-121,Ring 1 pressure and protection sector 2,300.000,-2500.000,10392.305,6000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-122,Ring 1 pressure and protection sector 3,300.000,-2500.000,6000.000,10392.305,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-123,Ring 1 pressure and protection sector 4,300.000,-2500.000,0.000,12000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-124,Ring 1 pressure and protection sector 5,300.000,-2500.000,-6000.000,10392.305,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-125,Ring 1 pressure and protection sector 6,300.000,-2500.000,-10392.305,6000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-126,Ring 1 pressure and protection sector 7,300.000,-2500.000,-12000.000,0.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-127,Ring 1 pressure and protection sector 8,300.000,-2500.000,-10392.305,-6000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-128,Ring 1 pressure and protection sector 9,300.000,-2500.000,-6000.000,-10392.305,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-129,Ring 1 pressure and protection sector 10,300.000,-2500.000,-0.000,-12000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-130,Ring 1 pressure and protection sector 11,300.000,-2500.000,6000.000,-10392.305,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-131,Ring 1 pressure and protection sector 12,300.000,-2500.000,10392.305,-6000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-151,"Ring 1 bearing, drive and rotary interfaces",1800.000,-2500.000,0.000,0.000,Ring mechanism,Use as distributed/remote mass only for V0.5 global model
AST-MASS-140,Ring 2 pressure and protection sector 1,300.000,2500.000,12000.000,0.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-141,Ring 2 pressure and protection sector 2,300.000,2500.000,10392.305,6000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-142,Ring 2 pressure and protection sector 3,300.000,2500.000,6000.000,10392.305,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-143,Ring 2 pressure and protection sector 4,300.000,2500.000,0.000,12000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-144,Ring 2 pressure and protection sector 5,300.000,2500.000,-6000.000,10392.305,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-145,Ring 2 pressure and protection sector 6,300.000,2500.000,-10392.305,6000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-146,Ring 2 pressure and protection sector 7,300.000,2500.000,-12000.000,0.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-147,Ring 2 pressure and protection sector 8,300.000,2500.000,-10392.305,-6000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-148,Ring 2 pressure and protection sector 9,300.000,2500.000,-6000.000,-10392.305,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-149,Ring 2 pressure and protection sector 10,300.000,2500.000,-0.000,-12000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-150,Ring 2 pressure and protection sector 11,300.000,2500.000,6000.000,-10392.305,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-151,Ring 2 pressure and protection sector 12,300.000,2500.000,10392.305,-6000.000,Habitation,Use as distributed/remote mass only for V0.5 global model
AST-MASS-152,"Ring 2 bearing, drive and rotary interfaces",1800.000,2500.000,0.000,0.000,Ring mechanism,Use as distributed/remote mass only for V0.5 global model
